spread_max,tie_low,tie_high,v3c_mode,N,coverage,accuracy,lower90
0.04,0.1,0.2,AGREE,135,0.9246575342465754,0.6370370370370371,0.5689581393482395
0.04,0.12,0.2,AGREE,135,0.9246575342465754,0.6370370370370371,0.5689581393482395
0.04,0.12,0.22,AGREE,135,0.9246575342465754,0.6370370370370371,0.5689581393482395
0.04,0.0,0.22,AGREE,135,0.9246575342465754,0.6370370370370371,0.5689581393482395
0.04,0.1,0.2,ANY,145,0.9931506849315068,0.6344827586206897,0.5686949004601115
0.04,0.12,0.2,ANY,145,0.9931506849315068,0.6344827586206897,0.5686949004601115
0.04,0.12,0.22,ANY,145,0.9931506849315068,0.6344827586206897,0.5686949004601115
0.04,0.0,0.22,ANY,145,0.9931506849315068,0.6344827586206897,0.5686949004601115
0.03,0.1,0.2,AGREE,134,0.9178082191780822,0.6343283582089553,0.5658873800883123
0.03,0.12,0.2,AGREE,134,0.9178082191780822,0.6343283582089553,0.5658873800883123
0.03,0.12,0.22,AGREE,134,0.9178082191780822,0.6343283582089553,0.5658873800883123
0.03,0.0,0.22,AGREE,134,0.9178082191780822,0.6343283582089553,0.5658873800883123
0.03,0.1,0.2,ANY,144,0.9863013698630136,0.6319444444444444,0.5658323683909552
0.03,0.12,0.2,ANY,144,0.9863013698630136,0.6319444444444444,0.5658323683909552
0.03,0.12,0.22,ANY,144,0.9863013698630136,0.6319444444444444,0.5658323683909552
0.03,0.0,0.22,ANY,144,0.9863013698630136,0.6319444444444444,0.5658323683909552
0.05,0.1,0.2,ANY,146,1.0,0.6301369863013698,0.5644124679437308
0.05,0.12,0.2,ANY,146,1.0,0.6301369863013698,0.5644124679437308
0.05,0.12,0.22,ANY,146,1.0,0.6301369863013698,0.5644124679437308
0.05,0.0,0.22,ANY,146,1.0,0.6301369863013698,0.5644124679437308
0.05,0.1,0.2,AGREE,136,0.9315068493150684,0.6323529411764706,0.5643399668812024
0.05,0.12,0.2,AGREE,136,0.9315068493150684,0.6323529411764706,0.5643399668812024
0.05,0.12,0.22,AGREE,136,0.9315068493150684,0.6323529411764706,0.5643399668812024
0.05,0.0,0.22,AGREE,136,0.9315068493150684,0.6323529411764706,0.5643399668812024
0.02,0.1,0.2,AGREE,128,0.8767123287671232,0.625,0.5546090931956251
0.02,0.12,0.2,AGREE,128,0.8767123287671232,0.625,0.5546090931956251
0.02,0.12,0.22,AGREE,128,0.8767123287671232,0.625,0.5546090931956251
0.02,0.0,0.22,AGREE,128,0.8767123287671232,0.625,0.5546090931956251
0.02,0.1,0.2,ANY,137,0.9383561643835616,0.6204379562043796,0.552236101333953
0.02,0.12,0.2,ANY,137,0.9383561643835616,0.6204379562043796,0.552236101333953
0.02,0.12,0.22,ANY,137,0.9383561643835616,0.6204379562043796,0.552236101333953
0.02,0.0,0.22,ANY,137,0.9383561643835616,0.6204379562043796,0.552236101333953
